text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
"Steel, alloy; semi-finished products",722490,HS 72,HS 72,"Steel, alloy; semi-finished products",en
"Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94, for regional retail supply chain, packed in cartons.",290399,HS 29,HS 29,"Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94",en
"Insecticides and the like; containing goods specified in Subheading Note 2 to this Chapter; in packings of a net weight content not exceeding 300g; for retail sale or as preparations or articles, for customs clearance and import declaration, for mixed-lot cargo.",380861,HS 38,HS 38,Insecticides and the like; containing goods specified in Subheading Note 2 to this Chapter; in packings of a net weight content not exceeding 300g; for retail sale or as preparations or articles,en
"Sacks and bags; of a kind used for the packing of goods, of man-made textile materials, not of polyethylene or polypropylene strip or the like, not flexible intermediate bulk containers",630539,HS 63,HS 63,"Sacks and bags; of a kind used for the packing of goods, of man-made textile materials, not of polyethylene or polypropylene strip or the like, not flexible intermediate bulk containers",en
"เนื้อวัวไม่มีกระดูก สด ไม่แช่แข็ง, for cross-border shipment, with standard commercial invoice and packing list.",020130,HS 02,Meat,Fresh or chilled boneless bovine meat,th
"Embroidery; with visible ground, of man-made fibres, in the piece, in strips or in motifs, for regional retail supply chain, for scheduled maritime transport.",581092,HS 58,HS 58,"Embroidery; with visible ground, of man-made fibres, in the piece, in strips or in motifs",en
"Tobacco, partly or wholly stemmed for industrial/commercial use",240120,HS 24,Tobacco,"Tobacco, partly or wholly stemmed",en
"Cinematographic film; exposed and developed, whether or not incorporating a sound track or consisting only of sound track, of a width less than 35mm",370690,HS 37,HS 37,"Cinematographic film; exposed and developed, whether or not incorporating a sound track or consisting only of sound track, of a width less than 35mm",en
"Zinc ores and concentrates, for regional retail supply chain, for scheduled maritime transport.",260800,HS 26,HS 26,Zinc ores and concentrates,en
"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, denim",521142,HS 52,HS 52,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, denim",en
"Furnaces and ovens; electric, for industrial or laboratory use, other than those functioning by induction, dielectric loss or resistance heated, other than electron beam, plasma or vacuum arc furnaces, for customs clearance and import declaration, for 20ft container loading.",851439,HS 85,HS 85,"Furnaces and ovens; electric, for industrial or laboratory use, other than those functioning by induction, dielectric loss or resistance heated, other than electron beam, plasma or vacuum arc furnaces",en
"Marble and travertine; merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape, having a specific gravity of 2.5 or more, for international wholesale distribution, packed in cartons.",251512,HS 25,HS 25,"Marble and travertine; merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape, having a specific gravity of 2.5 or more",en
Chalk,250900,HS 25,HS 25,Chalk,en
"Fabrics; knitted or crocheted, other than those of heading 60.01, of a width exceeding 30 cm, containing by weight 5% or more of elastomeric yarn or rubber thread,, for regional retail supply chain, shipping term FOB.",600490,HS 60,HS 60,"Fabrics; knitted or crocheted, other than those of heading 60.01, of a width exceeding 30 cm, containing by weight 5% or more of elastomeric yarn or rubber thread,",en
"Export grade lead-acid accumulators for vehicles, certified",850710,HS 85,Electronics,Lead-acid accumulators for vehicles,en
"Paper articles; articles of paper, cellulose wadding or fibres, n.e.c. in heading no. 4818",481890,HS 48,HS 48,"Paper articles; articles of paper, cellulose wadding or fibres, n.e.c. in heading no. 4818",en
"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip, of non-cellular rubber, for customs clearance and import declaration, packed in cartons.",400821,HS 40,HS 40,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip, of non-cellular rubber",en
"Salts; of oxometallic or peroxometallic acids, manganites, manganates and permanganates, potassium permanganate",284161,HS 28,HS 28,"Salts; of oxometallic or peroxometallic acids, manganites, manganates and permanganates, potassium permanganate",en
"Paper and paperboard; coated, impregnated or covered with plastics (excluding adhesives), other than bleached and weighing more than 150g/m2, other than goods of heading no. 4803, 4809, or 4810, for customs clearance and import declaration, palletized for container shipment.",481159,HS 48,HS 48,"Paper and paperboard; coated, impregnated or covered with plastics (excluding adhesives), other than bleached and weighing more than 150g/m2, other than goods of heading no. 4803, 4809, or 4810",en
"Flat panel display modules, whether or not incorporating touch-sensitive screens; of liquid crystals, with drivers or control circuits, for cross-border shipment, for 20ft container loading.",852491,HS 85,HS 85,"Flat panel display modules, whether or not incorporating touch-sensitive screens; of liquid crystals, with drivers or control circuits",en
"New pneumatic tyres for buses/lorries, meeting international standards",401120,HS 40,Rubber,New pneumatic tyres for buses/lorries,en
"Steroidal hormones, their derivatives and structural analogues; cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone), for bulk procurement program, for mixed-lot cargo.",293721,HS 29,HS 29,"Steroidal hormones, their derivatives and structural analogues; cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)",en
"Fabrics, woven; of artificial filament yarn, containing 85% or more by weight of artificial filament, strip or the like, dyed, for industrial procurement contract, with standard commercial invoice and packing list.",540822,HS 54,HS 54,"Fabrics, woven; of artificial filament yarn, containing 85% or more by weight of artificial filament, strip or the like, dyed",en
"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, 2-(N,N-Diisopropylamino)ethylchloride hydrochloride, for international wholesale distribution, packed in cartons.",292114,HS 29,HS 29,"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, 2-(N,N-Diisopropylamino)ethylchloride hydrochloride",en
"Household refrigerators, compression, commercial grade, for import",841821,HS 84,Machinery,"Household refrigerators, compression",en
"Wine; still, in containers holding more than 10 litres",220429,HS 22,HS 22,"Wine; still, in containers holding more than 10 litres",en
"Animal products; tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape, waste and powder of these products",050790,HS 05,HS 05,"Animal products; tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape, waste and powder of these products",en
"Flours, meals and pellets; of fish or of crustaceans, molluscs or other aquatic invertebrates, for cross-border shipment, for mixed-lot cargo.",230120,HS 23,HS 23,"Flours, meals and pellets; of fish or of crustaceans, molluscs or other aquatic invertebrates",en
"Crustaceans; frozen, Norway lobsters (Nephrops norvegicus), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water, for bulk procurement program, packed in cartons.",030615,HS 03,HS 03,"Crustaceans; frozen, Norway lobsters (Nephrops norvegicus), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",en
"Other electronic integrated circuits, quantity: various, for wholesale",854239,HS 85,Electronics,Other electronic integrated circuits,en
"Export grade television cameras and digital cameras, certified, for industrial procurement contract, shipping term FOB.",852580,HS 85,Electronics,Television cameras and digital cameras,en
"Swimwear; women's or girls', of textile materials (other than synthetic fibres), knitted or crocheted",611249,HS 61,HS 61,"Swimwear; women's or girls', of textile materials (other than synthetic fibres), knitted or crocheted",en
"Mosaics; executed entirely by hand, other than drawings of heading no. 4906, of an age not exceeding 100 years, for customs clearance and import declaration, for 20ft container loading.",970192,HS 97,HS 97,"Mosaics; executed entirely by hand, other than drawings of heading no. 4906, of an age not exceeding 100 years",en
"Nightdresses and pyjamas; women's or girls', of cotton (not knitted or crocheted), for bulk procurement program, shipping term CIF.",620821,HS 62,HS 62,"Nightdresses and pyjamas; women's or girls', of cotton (not knitted or crocheted)",en
Other medium petroleum oils for industrial/commercial use,271019,HS 27,Mineral Fuels,Other medium petroleum oils,en
"Fabrics, woven; of flax, containing 85% or more flax, other than bleached or unbleached",530919,HS 53,HS 53,"Fabrics, woven; of flax, containing 85% or more flax, other than bleached or unbleached",en
"Other cargo vessels, packed for international trade",890190,HS 89,Ships,Other cargo vessels,en
Paper and paperboard; manifold business forms and interleaved carbon sets,482040,HS 48,HS 48,Paper and paperboard; manifold business forms and interleaved carbon sets,en
"Vegetable oils; crude olive pomace oil and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, for export under standard commercial terms, packed in cartons.",151010,HS 15,HS 15,"Vegetable oils; crude olive pomace oil and their fractions, obtained solely from olives, whether or not refined, but not chemically modified",en
"Molluscs; cuttle fish and squid, whether in shell or not, live, fresh or chilled, for bulk procurement program, with standard commercial invoice and packing list.",030742,HS 03,HS 03,"Molluscs; cuttle fish and squid, whether in shell or not, live, fresh or chilled",en
"Copper; wire, of refined copper, of which the maximum cross-sectional dimension is 6mm or less, for bonded warehouse delivery, for scheduled maritime transport.",740819,HS 74,HS 74,"Copper; wire, of refined copper, of which the maximum cross-sectional dimension is 6mm or less",en
"Tar; distilled from coal, lignite or peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars, for customs clearance and import declaration, with standard commercial invoice and packing list.",270600,HS 27,HS 27,"Tar; distilled from coal, lignite or peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars",en
"Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium",320910,HS 32,HS 32,"Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium",en
"Cold-rolled iron or steel coil, commercial grade, for import",720917,HS 72,Steel,Cold-rolled iron or steel coil,en
"Steel, alloy; flat-rolled, width less than 600mm, of high speed steel",722620,HS 72,HS 72,"Steel, alloy; flat-rolled, width less than 600mm, of high speed steel",en
"Polyurethanes; in primary forms, for regional retail supply chain, for 20ft container loading.",390950,HS 39,HS 39,Polyurethanes; in primary forms,en
"Seeds of forage plants; other than lucerne, clover, fescue, Kentucky blue grass, and rye grass seeds, of a kind used for sowing, for bonded warehouse delivery, shipping term CIF.",120929,HS 12,HS 12,"Seeds of forage plants; other than lucerne, clover, fescue, Kentucky blue grass, and rye grass seeds, of a kind used for sowing",en
"Paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres; articles n.e.c. in heading no. 4823",482390,HS 48,HS 48,"Paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres; articles n.e.c. in heading no. 4823",en
"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), single, twisted more than 50 turns per metre, not for retail sale, not sewing thread, for bulk procurement program, shipping term FOB.",540252,HS 54,HS 54,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), single, twisted more than 50 turns per metre, not for retail sale, not sewing thread",en
"Vehicles; bodies (including cabs) for the motor vehicles of heading no. 8703, for customs clearance and import declaration, palletized for container shipment.",870710,HS 87,HS 87,Vehicles; bodies (including cabs) for the motor vehicles of heading no. 8703,en
"Railway or tramway locomotives or rolling stock; parts, driving bogies and bissel-bogies",860711,HS 86,HS 86,"Railway or tramway locomotives or rolling stock; parts, driving bogies and bissel-bogies",en
"Pepper, neither crushed nor ground, packed for international trade",090411,HS 09,Spices,"Pepper, neither crushed nor ground",en
"Swimwear; women's or girls', of synthetic fibres, knitted or crocheted",611241,HS 61,HS 61,"Swimwear; women's or girls', of synthetic fibres, knitted or crocheted",en
"Wood pulp; chemical wood pulp, sulphite, (other than dissolving grades), semi-bleached or bleached, of coniferous wood",470421,HS 47,HS 47,"Wood pulp; chemical wood pulp, sulphite, (other than dissolving grades), semi-bleached or bleached, of coniferous wood",en
"Golf equipment; other than clubs and balls, for cross-border shipment, packed in cartons.",950639,HS 95,HS 95,Golf equipment; other than clubs and balls,en
"Tools; hand-operated mechanical appliances, weighing 10kg or less, used in the preparation, conditioning or serving of food or drink",821000,HS 82,HS 82,"Tools; hand-operated mechanical appliances, weighing 10kg or less, used in the preparation, conditioning or serving of food or drink",en
"Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, for industrial procurement contract, shipping term CIF.",030342,HS 03,HS 03,"Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",en
"Halogenated organo-phosphorous derivatives; methylphosphonic dichloride, for customs clearance and import declaration, palletized for container shipment.",293151,HS 29,HS 29,Halogenated organo-phosphorous derivatives; methylphosphonic dichloride,en
"Insecticides for industrial/commercial use, for bulk procurement program, for scheduled maritime transport.",380891,HS 38,Chemicals,Insecticides,en
"Drawing, marking-out or mathematical calculating instruments, for regional retail supply chain, palletized for container shipment.",901720,HS 90,HS 90,"Drawing, marking-out or mathematical calculating instruments",en
"Fabrics, woven; unbleached or bleached, containing 85% or more by weight of artificial staple fibres",551611,HS 55,HS 55,"Fabrics, woven; unbleached or bleached, containing 85% or more by weight of artificial staple fibres",en
"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), for industrial procurement contract, packed in cartons.",030193,HS 03,HS 03,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",en
"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted, for regional retail supply chain, palletized for container shipment.",610349,HS 61,HS 61,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted",en
Cranes and derricks; designed for mounting on road vehicles,842691,HS 84,HS 84,Cranes and derricks; designed for mounting on road vehicles,en
"Fruit, edible; prunes, dried",081320,HS 08,HS 08,"Fruit, edible; prunes, dried",en
"Elevators and conveyors; pneumatic, for bonded warehouse delivery, shipping term FOB.",842820,HS 84,HS 84,Elevators and conveyors; pneumatic,en
"Stones; precious or semi-precious stones (natural, synthetic or reconstructed) articles of, for international wholesale distribution, for 20ft container loading.",711620,HS 71,HS 71,"Stones; precious or semi-precious stones (natural, synthetic or reconstructed) articles of",en
"Copper; copper-tin base alloys (bronze) unwrought, for customs clearance and import declaration, for scheduled maritime transport.",740322,HS 74,HS 74,Copper; copper-tin base alloys (bronze) unwrought,en
"Trade declaration: insecticides, new",380891,HS 38,Chemicals,Insecticides,en
"Pigments; of a kind used in the manufacture of paints, stamping foils",321210,HS 32,HS 32,"Pigments; of a kind used in the manufacture of paints, stamping foils",en
"Acids; cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",291620,HS 29,HS 29,"Acids; cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",en
Camping goods; pneumatic mattresses,630640,HS 63,HS 63,Camping goods; pneumatic mattresses,en
"Meters; parts and accessories of gas, liquid, electricity supply or production meters, including calibrating meters thereof",902890,HS 90,HS 90,"Meters; parts and accessories of gas, liquid, electricity supply or production meters, including calibrating meters thereof",en
"Glass fibres; glass wool and articles thereof, for export under standard commercial terms, shipping term CIF.",701980,HS 70,HS 70,Glass fibres; glass wool and articles thereof,en
"Iron or non-alloy steel; L or T sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more, for customs clearance and import declaration, shipping term CIF.",721640,HS 72,HS 72,"Iron or non-alloy steel; L or T sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",en
"Iron or non-alloy steel; (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm, for cross-border shipment, palletized for container shipment.",720927,HS 72,HS 72,"Iron or non-alloy steel; (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm",en
"Trade declaration: cold-rolled iron or steel coil, new",720917,HS 72,Steel,Cold-rolled iron or steel coil,en
"Paper and paperboard; uncoated, weight 225/m2 or more, in rolls or sheets, n.e.c. in heading no. 4805",480593,HS 48,HS 48,"Paper and paperboard; uncoated, weight 225/m2 or more, in rolls or sheets, n.e.c. in heading no. 4805",en
"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen, for cross-border shipment, for mixed-lot cargo.",071022,HS 07,HS 07,"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",en
"Insecticides; containing goods named in Subheading Note 2 to this Chapter, put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 7.5kg",380869,HS 38,HS 38,"Insecticides; containing goods named in Subheading Note 2 to this Chapter, put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 7.5kg",en
"Glass fibres; (including glass wool), mechanically bonded mats",701914,HS 70,HS 70,"Glass fibres; (including glass wool), mechanically bonded mats",en
"Amusement park rides and water park amusements; motion simulators and moving theatres, for cross-border shipment, palletized for container shipment.",950824,HS 95,HS 95,Amusement park rides and water park amusements; motion simulators and moving theatres,en
